label,subject,body
legit,University event: Career Fair,Your homework has been submitted successfully.
legit,Coffee break?,Let's grab lunch at the usual spot.
phishing,Action Required: Verify Your Email,Alert: Unusual activity on your Chase account. Log in to verify: http://bca-klik-secure.net
legit,University event: Hackathon,I've attached the notes from yesterday's meeting. Thanks.
legit,Homework submission confirmed,Please return the book by tomorrow morning.
legit,Welcome to the team,Could you clarify the point about requirements?
legit,Meeting at Friday at 3 PM,Join us for the Career Fair tomorrow.
legit,Notes from yesterday's meeting,Please return the book by Friday at 3 PM.
legit,Lunch today?,The report is attached. Let me know if you have questions.
legit,Homework submission confirmed,Can you please review the attached document before the meeting at 10 AM?
phishing,Account locked due to multiple failed logins,We noticed suspicious activity. Verify your identity at http://login-verify-account.net to unlock your account.
legit,Schedule change for Even Semester,Just a quick reminder about our meeting regarding Cybersecurity Upgrade.
legit,Homework submission confirmed,Your homework has been submitted successfully.
legit,Feedback on your presentation,Wishing you a very happy birthday!
legit,Library overdue notice,Your homework has been submitted successfully.
phishing,Update your payment details,Your payment failed. Update details now to keep your subscription active: login-verify-account.net
legit,Meeting at Friday at 3 PM,Could you clarify the point about requirements?
phishing,Claim your iPhone,FINAL WARNING: We will close your account unless you update your profile here: http://secure-update.com
phishing,Claim your iPhone,You have an unpaid invoice of $450. Pay immediately using the link: http://free-prize-claim.org
phishing,Your subscription has expired,You have a pending document shared via OneDrive. View it here: http://verify-your-id.net
phishing,PayPal Security Notice,FINAL WARNING: We will close your account unless you update your profile here: http://verify-your-id.net
legit,Schedule change for Spring 2026,Let's grab a coffee at the cafeteria and discuss budget.
phishing,Bank Account Alert: BNI,"Dear student, your university account will be deleted unless you verify it here: http://paypal-security-update.com/pu-verify"
phishing,Update your payment details,Please verify your email address immediately to avoid account closure. Link: www.secure-update.com/auth
legit,Question regarding timeline,Wishing you a very happy birthday!
legit,Project update: Q4 Planning,Let's grab a coffee at the food court and discuss marketing.
legit,Homework submission confirmed,Great presentation today! I really liked the part about budget.
legit,Meeting at 2 PM,Just a quick reminder about our meeting regarding Q4 Planning.
phishing,IT Support: Required System Update,Your payment failed. Update details now to keep your subscription active: it-helpdesk-portal.com
legit,Task assignment: Q4 Planning,Please find the invoice attached for your records.
phishing,Password Reset Required,You have an unpaid invoice of $450. Pay immediately using the link: http://verify-your-id.net
legit,Q3 Marketing Report,Great presentation today! I really liked the part about budget.
legit,Happy birthday!,Welcome to the team! We are glad to have you.
phishing,Unusual login activity,Your payment failed. Update details now to keep your subscription active: verify-your-id.net
phishing,PayPal Security Notice,Someone logged into your account from a new device. Click here if it wasn't you: http://login-verify-account.net
legit,Task assignment: Data Migration,Wishing you a very happy birthday!
legit,Your flight itinerary,Your homework has been submitted successfully.
phishing,Bank Account Alert: BRI,FINAL WARNING: We will close your account unless you update your profile here: http://bca-klik-secure.net
phishing,Your subscription has expired,Click the link below to reset your password within 2 hours. http://verify-your-id.net
legit,Class schedule for Summer,Just a quick reminder about our meeting regarding Alpha.
